"Name","CPU","Id"
"AggregatorHost",,"7648"
"ai","1.09375","5864"
"ai","0.390625","10528"
"ai","1.265625","10900"
"aimgr","0.375","16976"
"AppActions","1.09375","1868"
"ApplicationFrameHost","0.40625","16476"
"AppVShNotify",,"8884"
"backgroundTaskHost","0.578125","3004"
"Code","25.875","7112"
"Code","1.4375","7744"
"Code","33.59375","10396"
"Code","0.625","11288"
"Code","19.3125","12256"
"Code","0.03125","14984"
"Code","1.046875","17576"
"Code","2.25","17580"
"Code","6.53125","17720"
"Code","6.65625","17908"
"conhost","0.0625","1528"
"CrossDeviceResume","0.90625","9628"
"CrossDeviceService","5.96875","10084"
"csrss",,"1036"
"csrss",,"1132"
"ctfmon","18.09375","13076"
"DAX3API",,"5108"
"DAX3API",,"6860"
"dwm",,"1776"
"explorer","65.734375","2220"
"fontdrvhost",,"1476"
"fontdrvhost",,"1484"
"Idle",,"0"
"igfxCUIServiceN",,"2988"
"igfxEMN","1.265625","396"
"IntelAudioService",,"5224"
"IntelCpHDCPSvc",,"2192"
"ISM",,"3076"
"LockApp","4.625","16652"
"LsaIso",,"1288"
"lsass",,"1296"
"Memory Compression",,"3744"
"MicrosoftStartFeedProvider","3.015625","5444"
"MidiSrv",,"10124"
"MpDefenderCoreService",,"10220"
"msedge","0.09375","3000"
"msedge","5.859375","3504"
"msedge","23.40625","5332"
"msedge","160.65625","5744"
"msedge","65.5625","9212"
"msedge","0.625","9980"
"msedge","153.828125","10132"
"msedge","154.734375","10272"
"msedge","24.421875","11952"
"msedge","1.125","14320"
"msedge","0.203125","14712"
"msedge","2.8125","15032"
"msedge","0.53125","15544"
"msedge","3.046875","16300"
"msedge","0.171875","16308"
"msedgewebview2","8.296875","7492"
"msedgewebview2","5.5625","10640"
"msedgewebview2","0.375","11444"
"msedgewebview2","0.109375","11504"
"msedgewebview2","6.09375","12148"
"msedgewebview2","1.90625","12220"
"MsMpEng",,"2144"
"NgcIso",,"5140"
"NisSrv",,"8740"
"OfficeClickToRun",,"5380"
"OneDrive","17.03125","13860"
"OneDrive.Sync.Service","7.546875","14328"
"PhoneExperienceHost","4.046875","8240"
"pwsh","6.46875","11268"
"Registry",,"184"
"RtkAudUService64",,"5304"
"RtkAudUService64","0.125","16276"
"RuntimeBroker","0.921875","864"
"RuntimeBroker","0.390625","3960"
"RuntimeBroker","0.078125","9236"
"RuntimeBroker","6.015625","10532"
"RuntimeBroker","2.5","12628"
"SearchHost","8.359375","10368"
"SearchIndexer",,"8668"
"Secure System",,"140"
"SecurityHealthService",,"5632"
"SecurityHealthSystray","0.125","16372"
"services",,"1260"
"ShellHost","0.203125","16616"
"sihost","15.828125","10024"
"smss",,"652"
"spoolsv",,"4564"
"StartMenuExperienceHost","8.84375","10380"
"SurfaceAppDt","2.171875","15292"
"SurfaceBroker",,"6980"
"SurfaceService",,"5360"
"svchost","2.953125","368"
"svchost","0.109375","460"
"svchost",,"532"
"svchost",,"1200"
"svchost",,"1312"
"svchost",,"1316"
"svchost",,"1444"
"svchost",,"1616"
"svchost",,"1660"
"svchost",,"1728"
"svchost",,"1848"
"svchost",,"1864"
"svchost",,"1880"
"svchost",,"1900"
"svchost",,"1912"
"svchost",,"1920"
"svchost","0.015625","2032"
"svchost",,"2072"
"svchost",,"2168"
"svchost",,"2180"
"svchost",,"2256"
"svchost",,"2276"
"svchost",,"2308"
"svchost",,"2316"
"svchost",,"2364"
"svchost",,"2372"
"svchost",,"2380"
"svchost",,"2556"
"svchost",,"2564"
"svchost",,"2628"
"svchost",,"2772"
"svchost",,"2792"
"svchost",,"2928"
"svchost",,"2940"
"svchost",,"2956"
"svchost",,"2968"
"svchost",,"3256"
"svchost","0.1875","3328"
"svchost",,"3396"
"svchost",,"3484"
"svchost",,"3560"
"svchost",,"3620"
"svchost",,"3644"
"svchost",,"3700"
"svchost",,"3712"
"svchost",,"3812"
"svchost",,"3832"
"svchost",,"3880"
"svchost",,"4172"
"svchost",,"4204"
